tabela,entrada,condicao,saida,observacao,fonte_l1
colinesterase-valor-basal,exame admissional (pre-exposicao a organofosforado/carbamato),ausente,afastar 30 dias e repetir; ideal 2 analises com 7-15 dias de intervalo,repetir obtencao do valor basal a cada 2 anos,NR-7 7.4.1; NotaInf16/2019 Anexo I
colinesterase-percentual-inibicao,atividade basal e atividade obtida,formula,"(basal - obtida) / basal x 100",aplicavel a colinesterase plasmatica e de sangue total,NotaInf16/2019 Anexo I item 4
colinesterase-classificacao,percentual de inibicao (plasmatica),<= 50%,Normal (dentro do limite aceitavel),manter rotina; repetir conforme periodicidade,NR-7 QuadroI; NotaInf16/2019
colinesterase-classificacao,percentual de inibicao (plasmatica),> 50%,Alterado (excede o IBMP),afastar do contato por 30 dias; encaminhar ao servico de saude do trabalhador,NR-7 QuadroI; NotaInf16/2019
colinesterase-classificacao,percentual de inibicao (sangue total/eritrocitaria),<= 25%,Normal (dentro do limite aceitavel),manter rotina; repetir conforme periodicidade,NR-7 QuadroI; NotaInf16/2019
colinesterase-classificacao,percentual de inibicao (sangue total/eritrocitaria),> 25%,Alterado (excede o IBMP),afastar do contato por 30 dias; encaminhar ao servico de saude do trabalhador,NR-7 QuadroI; NotaInf16/2019
colinesterase-precaucao,percentual de inibicao (qualquer amostra),reducao de 20% ou no minimo 30% (mesmo sem atingir IBMP),ALERTA de precaucao,verificar/reforcar praticas de protecao (EPI e tecnica de aplicacao); nao afasta automaticamente,NotaInf16/2019 Anexo I (recomendacao adicional)
colinesterase-conduta-alterado,resultado Alterado,presente,afastar do contato 30 dias + reavaliacao clinica e laboratorial + repetir exame em 30 dias + investigar outras causas,nao concluir por exposicao ocupacional sem descartar outras causas (hepatopatia; medicamentos),NotaInf16/2019 Anexo III item 3
periodicidade-colinesterase,rotina de monitoramento biologico,sem alteracao previa,no minimo SEMESTRAL,pode ser reduzida por criterio medico ou negociacao coletiva,NR-7 7.4.2.1
periodicidade-colinesterase,evento disparador,admissional; retorno ao trabalho apos afastamento > 30 dias; mudanca de funcao; sintomatico; apos surto/bloqueio de aplicacao; retestagem apos resultado alterado,exame de colinesterase fora da rotina semestral,gatilhos adicionais independentes da rotina,NR-7 7.4.3.3; NotaInf16/2019 Anexo III item 1.1
contraindicacao-manuseio,condicao de saude do trabalhador,hepatopatia; cardiopatia; pneumopatia; desnutricao; gestacao; lactacao; cancer; imunossupressao; neuropatia; uso de medicamento colinesterase-inibidor,NAO deve manusear organofosforados/carbamatos,exigir laudo medico e providencias administrativas,NotaInf16/2019 Anexo III item 2.2
registro-prontuario,exames e afastamentos do PCMSO,todos os eventos,manter registro por no minimo 20 anos apos desligamento,aplica-se ao prontuario clinico individual do trabalhador,NR-7 7.4.5.1
alerta-sintoma-agudo,sintomas dos ultimos 30 dias (Secao 13 da anamnese),qualquer sintoma compativel com intoxicacao aguda,ALERTA,independe da classificacao da colinesterase; encaminhamento assistencial imediato,NR-31 (dever geral de vigilancia da saude do trabalhador)
alerta-produto-categoria,categoria toxicologica do defensivo manuseado (AgroSUSClassificacaoToxicologicaVS),categoria 1 ou 2 (extremamente/altamente toxico) sem EPI adequado registrado,ALERTA,cruza Secao 6 (defensivos) com Secao 9 (EPI) da anamnese,NR-31 item 31.8
alerta-historico-intoxicacao,historico de intoxicacao aguda previa (AgroSUSHistoricoIntoxicacaoCS),uma ou mais intoxicacoes agudas anteriores,ALERTA de acompanhamento prioritario,Secao 14 da anamnese,NR-31 (dever geral de vigilancia da saude do trabalhador)
conduta-alerta-geral,qualquer ALERTA (sintoma; produto sem EPI; historico; colinesterase alterada),presente,priorizar avaliacao clinica na UBS e considerar antecipacao do plano de acompanhamento,suporte a decisao - nao substitui o julgamento clinico,ADR-0001; ADR-0002
escore-risco-composto,-,-,NAO DEFINIDO - sem fonte validada,ver docs/adr/0002-escore-risco-nao-definido.md; nao inferir pesos,ADR-0002 (aberto)
